epoch,w_net_1_0,w_net_1_1,w_net_1_2,w_net_1_3,w_net_1_4,w_net_1_5,w_net_1_6,w_net_1_7,w_net_1_8,w_net_1_9,w_net_2_0,w_net_2_1,w_net_2_2,w_net_2_3,w_net_2_4,w_net_2_5,w_net_2_6,w_net_2_7,w_net_2_8,w_net_2_9
6,0.4541679026994957,0.4620360234849239,0.46143029329047813,0.4787524366471735,0.45849762410271966,0.4798476037698015,0.4375251914550584,0.4571744151019179,0.44464285714285723,0.4517051255870942,0.45302381189598484,0.4610408995919991,0.46221335992023926,0.4748345066722707,0.4595774228747148,0.4816565809379727,0.44124389514601814,0.45585111762921005,0.4467367585796468,0.45158632056036263
6,0.09904,0.10075,0.10062,0.1044,0.09998,0.10464,0.09541,0.09969,0.09696,0.0985,0.09875,0.10049,0.10075,0.1035,0.10017,0.10499,0.09618,0.09936,0.09738,0.09843
7,0.4684985279685968,0.46870350163674235,0.4791035735917625,0.5018110317706717,0.47315676449534716,0.5007668711656441,0.4582138265255662,0.46969848742862863,0.45311095575751525,0.460069091648039,0.4674404879008459,0.46851059596060096,0.47801418439716314,0.4959884797366797,0.47379114181227144,0.4993067934244405,0.45218832244858176,0.46828154472351835,0.45244267198404786,0.46050369171639516
7,0.09901,0.09988,0.10093,0.10522,0.09997,0.10523,0.09612,0.09946,0.09634,0.09784,0.09893,0.09991,0.10105,0.10434,0.10032,0.10543,0.09602,0.09932,0.09664,0.09803
8,0.4732160123767163,0.4684953289604453,0.48094558793560227,0.49561086440152846,0.47742262810755964,0.4982969344820677,0.4527186761229315,0.47646205896568383,0.45590614886731395,0.459552495697074,0.466879489225858,0.46632175902895234,0.4832680132649986,0.5022426202148743,0.47476766263615466,0.5066819396716304,0.45661507738392415,0.46729724290601726,0.45196787944879546,0.4612733171127332
8,0.0993,0.09954,0.10112,0.10501,0.10024,0.1052,0.09592,0.09983,0.09629,0.09755,0.0988,0.09941,0.10138,0.10491,0.10028,0.10595,0.09615,0.09909,0.09622,0.09781
9,0.47110402550817065,0.46750776008811445,0.4825312469245153,0.4977235099337748,0.4782951854775058,0.4982831751161382,0.45611454349318414,0.46950786402841194,0.45431145431145437,0.4639092460596326,0.47044261808099797,0.4659182036888533,0.4802132458478573,0.49892097420614534,0.47426953796380544,0.5002981514609421,0.4598021323600039,0.4698100069630956,0.45449172576832153,0.461250126633573
9,0.09932,0.09931,0.10129,0.10501,0.10041,0.10519,0.096,0.09964,0.09618,0.09764,0.09894,0.09915,0.10139,0.10502,0.10025,0.10587,0.09639,0.09912,0.09616,0.09771
10,0.46871008939974457,0.4688459633481922,0.48353867905473646,0.49968769519050604,0.47474340913664737,0.5017158544955389,0.4544740202337688,0.469436437729848,0.4525184152896675,0.46002246502603916,0.4690752012566267,0.46855221518987344,0.48386456161255087,0.5017135735798111,0.4730849895136323,0.5018823063205864,0.4518944653838525,0.46689371932284895,0.4513521604630276,0.458456519522887
10,0.09926,0.09926,0.10147,0.10512,0.10039,0.10535,0.096,0.09954,0.09607,0.09754,0.099,0.09915,0.10158,0.10525,0.10022,0.10593,0.09623,0.09905,0.09603,0.09756
11,0.47173527673823135,0.46619999999999995,0.48122729107791684,0.49614448051948057,0.4762047291230169,0.4956539114796682,0.4530353964801266,0.46934693469346933,0.4522066099346922,0.45987183399450704,0.4678368405305675,0.46824136562127827,0.4823222177581358,0.49512323020450966,0.47225025227043393,0.5030885380919699,0.4548996688096629,0.47059408896407595,0.45351945351945366,0.46442667746179533
11,0.09943,0.09886,0.10172,0.10525,0.10056,0.10541,0.09611,0.09949,0.09583,0.09733,0.09902,0.09885,0.10181,0.10546,0.10014,0.10619,0.09622,0.09907,0.09573,0.09751
12,0.47016239483467026,0.4672350550213147,0.48199141973461035,0.49666427178487127,0.4708107555464677,0.4980229339659944,0.45236456592272156,0.4716266081579734,0.45202749825645117,0.45981823751659345,0.4709967719847402,0.4688395061728394,0.48530595813204513,0.5020711630377057,0.4741059801662828,0.5066286948836296,0.45163821855993713,0.46761295481807286,0.45224940805051295,0.46025915722885413
