epoch,w_net_1_0,w_net_1_1,w_net_1_2,w_net_1_3,w_net_1_4,w_net_1_5,w_net_1_6,w_net_1_7,w_net_1_8,w_net_1_9,w_net_2_0,w_net_2_1,w_net_2_2,w_net_2_3,w_net_2_4,w_net_2_5,w_net_2_6,w_net_2_7,w_net_2_8,w_net_2_9
22,0.46620000000000006,0.47178729689807974,0.47818200141086364,0.49093431090855055,0.47041062801932354,0.5005513784461153,0.4445217045793185,0.4693431382291564,0.45257985257985267,0.46135441589514203,0.4638768258981445,0.46569313862772554,0.4784571194091095,0.49432364825861075,0.46965885075978675,0.4972643097643097,0.4575257930768488,0.4666,0.44918357248886687,0.4579553562327998
22,0.09923,0.09897,0.10169,0.10559,0.09987,0.10707,0.09525,0.09931,0.09567,0.09736,0.09914,0.09915,0.1019,0.10526,0.09999,0.10545,0.09634,0.09916,0.09558,0.09803
23,0.46925378897576975,0.46365105008077534,0.47894844937358805,0.4919686985172981,0.47024760383386577,0.4965972574911123,0.45746419302124375,0.4672915835660152,0.4501230920728705,0.458739837398374,0.46947449768160743,0.4648795727098659,0.4758326563769293,0.49071463296062223,0.46776131357629147,0.49831340079730135,0.4479872459147072,0.466680170143812,0.4492148678195189,0.458219108538938
23,0.09925,0.0988,0.10169,0.10546,0.09992,0.10703,0.09553,0.09934,0.09567,0.09731,0.09927,0.09914,0.10194,0.10494,0.09999,0.10549,0.09634,0.09927,0.09567,0.09796
24,0.4689486552567238,0.46326776395022073,0.48189750275799814,0.4893919399045782,0.47040684372824026,0.4945279738160989,0.4525150706591561,0.47283901665344963,0.45082938388625593,0.45663680781758964,0.46549707602339185,0.46505975288636814,0.4787494891704127,0.4904790539186209,0.47357846092023315,0.49271137026239065,0.44613851519681114,0.47282555282555283,0.44886589733386406,0.4604005232967697
24,0.09936,0.09874,0.10177,0.10537,0.09979,0.10693,0.09557,0.0995,0.09568,0.09729,0.09928,0.09908,0.10201,0.1048,0.09997,0.10553,0.09606,0.0996,0.09565,0.09802
25,0.46692456479690514,0.4659102219568031,0.4789343246592317,0.49298969072164944,0.4721790488032329,0.5016796237642769,0.4513412962600353,0.471504634194439,0.44976076555023925,0.4573738614266707,0.46649785742111405,0.4675788221296847,0.4801161975358109,0.48838149121034546,0.46782608695652184,0.4941813804173355,0.45278022947925856,0.4680194966676614,0.4474817262441173,0.4583546244251405
25,0.0996,0.09898,0.10186,0.10447,0.10016,0.10598,0.09584,0.09998,0.09573,0.0974,0.09923,0.0992,0.10199,0.10466,0.09991,0.10569,0.09622,0.09976,0.09549,0.09786
26,0.4679890023566379,0.46740969250671716,0.47345942647956063,0.4908387622149838,0.46948592043290915,0.4954110135674381,0.45141958935062376,0.4665598718462155,0.45110472604775587,0.4586634166158846,0.47071498530852107,0.472533905746902,0.4810606060606061,0.4897877452943532,0.4723310234006226,0.4936418594955181,0.4519343493552169,0.46605062274005615,0.45272655943507256,0.46169901899394705
26,0.09949,0.09918,0.10171,0.10446,0.10006,0.10585,0.096,0.09984,0.09588,0.09751,0.09946,0.09945,0.10194,0.10447,0.1001,0.10542,0.09607,0.09963,0.09569,0.09778
