Epoch:1   Accuracy:60.51
Epoch:2   Accuracy:65.49
Epoch:3   Accuracy:67.80
Epoch:4   Accuracy:69.11
Epoch:5   Accuracy:70.22
Epoch:6   Accuracy:66.23
Epoch:7   Accuracy:65.72
Epoch:8   Accuracy:66.25
Epoch:9   Accuracy:66.61
Epoch:10   Accuracy:67.07
Epoch:11   Accuracy:67.67
Epoch:12   Accuracy:68.17
Epoch:13   Accuracy:67.08
Epoch:14   Accuracy:67.11
Epoch:15   Accuracy:67.54
Epoch:16   Accuracy:68.62
Epoch:17   Accuracy:67.81
Epoch:18   Accuracy:68.05
Epoch:19   Accuracy:67.73
Epoch:20   Accuracy:68.27
Epoch:21   Accuracy:67.99
Epoch:22   Accuracy:67.99
Epoch:23   Accuracy:67.71
Epoch:24   Accuracy:68.90
Epoch:25   Accuracy:68.41
Epoch:26   Accuracy:68.13
Epoch:27   Accuracy:67.69
Epoch:28   Accuracy:68.04
Epoch:29   Accuracy:68.24
Epoch:30   Accuracy:68.17
Epoch:31   Accuracy:68.38
Epoch:32   Accuracy:68.34
Epoch:33   Accuracy:68.58
Epoch:34   Accuracy:68.17
Epoch:35   Accuracy:68.04
Epoch:36   Accuracy:67.89
Epoch:37   Accuracy:68.12
Epoch:38   Accuracy:68.63
Epoch:39   Accuracy:68.21
Epoch:40   Accuracy:68.55
Epoch:41   Accuracy:68.17
Epoch:42   Accuracy:68.78
Epoch:43   Accuracy:68.59
Epoch:44   Accuracy:68.31
Epoch:45   Accuracy:68.64
Epoch:46   Accuracy:68.19
Epoch:47   Accuracy:68.41
Epoch:48   Accuracy:68.57
Epoch:49   Accuracy:67.85
Epoch:50   Accuracy:69.08
Epoch:51   Accuracy:67.78
Epoch:52   Accuracy:67.85
Epoch:53   Accuracy:68.42
Epoch:54   Accuracy:68.49
Epoch:55   Accuracy:68.30
Epoch:56   Accuracy:68.94
Epoch:57   Accuracy:68.97
Epoch:58   Accuracy:68.72
Epoch:59   Accuracy:68.49
Epoch:60   Accuracy:68.86
Epoch:61   Accuracy:68.63
Epoch:62   Accuracy:68.84
Epoch:63   Accuracy:69.13
Epoch:64   Accuracy:68.96
Epoch:65   Accuracy:69.61
Epoch:66   Accuracy:69.07
Epoch:67   Accuracy:68.76
Epoch:68   Accuracy:69.03
Epoch:69   Accuracy:68.96
Epoch:70   Accuracy:68.83
Epoch:71   Accuracy:68.16
Epoch:72   Accuracy:68.17
Epoch:73   Accuracy:69.07
Epoch:74   Accuracy:68.85
Epoch:75   Accuracy:69.40
Epoch:76   Accuracy:69.45
Epoch:77   Accuracy:68.63
Epoch:78   Accuracy:68.97
Epoch:79   Accuracy:69.12
Epoch:80   Accuracy:69.00
Epoch:81   Accuracy:68.82
Epoch:82   Accuracy:68.82
Epoch:83   Accuracy:68.93
Epoch:84   Accuracy:68.37
Epoch:85   Accuracy:68.89
Epoch:86   Accuracy:69.60
Epoch:87   Accuracy:69.13
Epoch:88   Accuracy:69.30
Epoch:89   Accuracy:69.41
Epoch:90   Accuracy:69.32
Epoch:91   Accuracy:69.05
Epoch:92   Accuracy:69.58
Epoch:93   Accuracy:69.77
Epoch:94   Accuracy:69.89
Epoch:95   Accuracy:68.89
Epoch:96   Accuracy:69.42
Epoch:97   Accuracy:69.46
Epoch:98   Accuracy:69.61
Epoch:99   Accuracy:70.01
Epoch:100   Accuracy:70.45
Epoch:101   Accuracy:69.88
Epoch:102   Accuracy:70.04
Epoch:103   Accuracy:68.92
Epoch:104   Accuracy:70.43
Epoch:105   Accuracy:69.74
Epoch:106   Accuracy:69.62
Epoch:107   Accuracy:69.81
Epoch:108   Accuracy:69.83
Epoch:109   Accuracy:69.46
Epoch:110   Accuracy:69.15
Epoch:111   Accuracy:69.50
Epoch:112   Accuracy:69.98
Epoch:113   Accuracy:69.92
Epoch:114   Accuracy:69.56
Epoch:115   Accuracy:69.30
Epoch:116   Accuracy:68.60
Epoch:117   Accuracy:69.72
Epoch:118   Accuracy:70.03
Epoch:119   Accuracy:69.65
Epoch:120   Accuracy:70.19
Epoch:121   Accuracy:68.99
Epoch:122   Accuracy:69.03
Epoch:123   Accuracy:69.52
Epoch:124   Accuracy:69.55
Epoch:125   Accuracy:69.69
Epoch:126   Accuracy:69.81
Epoch:127   Accuracy:69.30
Epoch:128   Accuracy:70.37
Epoch:129   Accuracy:69.69
Epoch:130   Accuracy:70.23
Epoch:131   Accuracy:70.10
Epoch:132   Accuracy:69.88
Epoch:133   Accuracy:69.80
Epoch:134   Accuracy:69.58
Epoch:135   Accuracy:69.82
Epoch:136   Accuracy:69.66
Epoch:137   Accuracy:69.83
Epoch:138   Accuracy:69.68
Epoch:139   Accuracy:70.01
Epoch:140   Accuracy:69.97
Epoch:141   Accuracy:69.67
Epoch:142   Accuracy:70.05
Epoch:143   Accuracy:70.35
