epoch,L_x,L_u,lambda_u,L_reg,L_total
6,1.5766950566594193,0.001266049168771133,37.40853658536585,0.0030165238004950124,1.6151925020101594
6,1.5504710592874666,0.0017371974959288065,37.40853658536585,0.0032854453893378377,1.6014756522527556
7,1.3816770209142795,0.001502824965707707,56.15985576923077,0.004572030474194504,1.4565483406186104
7,1.3749448591126845,0.0015264109351846855,56.15985576923077,0.004346422710044023,1.450736606063751
8,1.3115178813105044,0.001449538442330966,74.90942028985505,0.005814531401299156,1.4122564352076987
8,1.3113866439846713,0.0014409464313292154,74.9102870813397,0.005255268205460785,1.4109455361320642
9,1.2611344642045965,0.00135481620511557,93.6602870813397,0.006560515162298839,1.3819476306153256
9,1.2702051230024494,0.0014092540412998656,93.6602870813397,0.006147853041994586,1.3951669860114322
10,1.2430211294210698,0.0013352596311290797,112.4102870813397,0.00672449317480032,1.3873813899510214
10,1.2455571099901883,0.001340922193532658,112.4102870813397,0.006719484158822794,1.390285331381565
11,1.2408520202887685,0.0013805514281731474,131.1602870813397,0.006663571720114022,1.4155918622130983
11,1.2303279678026835,0.0013242028147769382,131.16071428571428,0.007219054953505596,1.3986522785254887
12,1.201603920256357,0.0012780443756395324,149.9111374407583,0.007772175937237756,1.3889804383589759
12,1.200673684124698,0.001274423517333123,149.9111374407583,0.00700658354224081,1.3869084328836738
13,1.2098999406610216,0.0012991138093639166,168.66071428571428,0.007627035962373373,1.4242275541736966
13,1.204436822525133,0.0012894423520722167,168.6611374407583,0.007708678273616526,1.4173055666882846
14,1.1905588111225165,0.0012566838344835833,187.4115566037736,0.007376507354047993,1.4218462851812255
14,1.1894339502982374,0.0012522046187923308,187.4115566037736,0.007374361966284133,1.4198709290544942
15,1.1818864712782946,0.0012384514543404405,206.1611374407583,0.008191583957302415,1.4339067893570634
15,1.1824408803667341,0.001264638490586852,206.16071428571428,0.008086060974303456,1.439421303215481
16,1.1782241031456897,0.0012448128489104334,224.91113744075832,0.008568550176450638,1.4551597460751284
16,1.1981709219937056,0.0012728481569694232,224.91155660377356,0.007684848398708229,1.480222243745372
17,1.1688640531799603,0.0012278476428839557,243.6619718309859,0.007808074089501735,1.4644843337121705
17,1.152422602727728,0.0011924147218211009,243.66155660377356,0.00821769053011008,1.4398876445473365
18,1.1564417147020778,0.0012143179270091243,262.4119718309859,0.008282753969039856,1.4719434002755394
18,1.1773473443287723,0.0012471108850561751,262.41155660377353,0.007917522889878249,1.5007485131610114
19,1.1779820029164705,0.0012313544075496653,281.1619718309859,0.008113447897040018,1.5208070627960242
19,1.1586022841538621,0.0012288834456137946,281.1619718309859,0.008270321664194896,1.5006996563902484
20,1.1789669352714147,0.0012479352304563972,299.9123831775701,0.008058252320059132,1.5495611509987126
20,1.1623867503913916,0.0012129496015387505,299.9119718309859,0.007967428058307146,1.5226884232440465
21,1.155525925421269,0.0012122239643070306,300.0,0.009006363713991977,1.528199477451984
21,1.1730594211649672,0.0011993418253194454,300.0,0.00878397394929116,1.5416459402191305
22,1.1607773983201315,0.0011980480920566721,300.0,0.00830043459874253,1.5284922621970953
22,1.1581560175552545,0.0011949074736395937,300.0,0.008213454623549967,1.524841710785839
23,1.1785105494565742,0.001242844966581351,300.0,0.00831972626471069,1.5596837703571764
23,1.1638907024236482,0.0012099315673733027,300.0,0.008671781198321798,1.5355419547201317
24,1.15913131331729,0.001194411658879944,300.0,0.00876914554658546,1.5262239508539717
24,1.1359118841518865,0.0011417267397459527,300.0,0.009036025584013872,1.487465930319278
25,1.1412253193209105,0.00116133519609363,300.0,0.008609871171136325,1.4982357470788688
25,1.1420246184429275,0.0011705267293406999,300.0,0.009237135485767727,1.502419767814262
26,1.120075866997799,0.0011419997433315806,300.0,0.009571745728412382,1.472247534823195
26,1.1328919292055946,0.0011622435118163554,300.0,0.008965083694155437,1.4905300638485404
27,1.141576047255614,0.0011976375622635654,300.0,0.008931924968688078,1.509799235892073
27,1.1505683660507202,0.001201093486688901,300.0,0.00898784875090039,1.5198842594789905
28,1.125764305944796,0.0011471761117044716,300.0,0.008350054420858484,1.4782671947722081
28,1.12555383808083,0.001139938918775577,300.0,0.00890103360870853,1.4764365457274296
29,1.130905558162021,0.001126627708422578,300.0,0.00989958603784854,1.4787934532363294
29,1.1259395762931468,0.0011674750410832551,300.0,0.008837571418519284,1.4850196605504946
30,1.1166372121766557,0.001160017143241888,300.0,0.010050651383434616,1.4746930072473925
30,1.1381834846596386,0.0011921156609300957,300.0,0.009062963528125438,1.50488114162933
31,1.1337278759756753,0.001160428385239441,300.0,0.009123827263626249,1.4909802242766979
31,1.1261388041354992,0.0011577492130325278,300.0,0.009140321912666506,1.4826038877169292
32,1.1301093493346814,0.001167439258871902,300.0,0.008903719657273204,1.4892448471100241
32,1.1078785555307256,0.0011356511843650667,300.0,0.008677343397163029,1.4572512521300205
33,1.1223993683970253,0.0011520928050781233,300.0,0.009108751444795797,1.4771359579507695
33,1.125535811814997,0.0011459216499739948,300.0,0.009319873962171928,1.4786321793993313
34,1.1218910421486255,0.0011447020073386807,300.0,0.009311682791492247,1.4746133326380342
34,1.1312933448288176,0.001163602087790086,300.0,0.009226985499952678,1.4896009536804977
35,1.1253732843882478,0.0011604936807663158,300.0,0.008474509511250264,1.481995898732392
35,1.1151671941890273,0.0011618477330261538,300.0,0.008541682584557769,1.4722631928532623
36,1.1280572172683505,0.001141724576513725,300.0,0.009210770092432468,1.4797853569281265
36,1.129247029070501,0.0011489061413427677,300.0,0.008961063875445959,1.4828799320039925
37,1.1304774347830702,0.0011465422339151027,300.0,0.009845744384047403,1.4842858477323144
37,1.1311319717613784,0.0011717979464956779,300.0,0.008558173658549443,1.4912295283809784
38,1.136225954801948,0.001188368110079965,300.0,0.009357733785657695,1.5020941192353214
38,1.1328023743519586,0.001148406714056125,300.0,0.008971888825194353,1.4862962785404399
