Epoch:1   Accuracy:88.87
Epoch:2   Accuracy:89.47
Epoch:3   Accuracy:88.28
Epoch:4   Accuracy:86.74
Epoch:5   Accuracy:83.79
Epoch:6   Accuracy:89.24
Epoch:7   Accuracy:90.34
Epoch:8   Accuracy:90.24
Epoch:9   Accuracy:90.42
Epoch:10   Accuracy:90.52
Epoch:11   Accuracy:90.84
Epoch:12   Accuracy:91.37
Epoch:13   Accuracy:91.46
Epoch:14   Accuracy:91.18
Epoch:15   Accuracy:91.26
Epoch:16   Accuracy:91.60
Epoch:17   Accuracy:91.57
Epoch:18   Accuracy:92.10
Epoch:19   Accuracy:91.96
Epoch:20   Accuracy:91.72
Epoch:21   Accuracy:91.79
Epoch:22   Accuracy:92.33
Epoch:23   Accuracy:91.66
Epoch:24   Accuracy:92.07
Epoch:25   Accuracy:92.20
Epoch:26   Accuracy:92.39
Epoch:27   Accuracy:92.48
Epoch:28   Accuracy:92.56
Epoch:29   Accuracy:92.81
Epoch:30   Accuracy:92.29
Epoch:31   Accuracy:92.34
Epoch:32   Accuracy:92.81
Epoch:33   Accuracy:92.39
Epoch:34   Accuracy:92.15
Epoch:35   Accuracy:92.41
Epoch:36   Accuracy:91.94
Epoch:37   Accuracy:92.65
Epoch:38   Accuracy:92.36
Epoch:39   Accuracy:92.62
Epoch:40   Accuracy:92.70
Epoch:41   Accuracy:92.25
Epoch:42   Accuracy:92.44
Epoch:43   Accuracy:92.92
Epoch:44   Accuracy:92.49
Epoch:45   Accuracy:92.88
Epoch:46   Accuracy:92.39
Epoch:47   Accuracy:91.95
Epoch:48   Accuracy:92.18
Epoch:49   Accuracy:92.52
Epoch:50   Accuracy:91.89
Epoch:51   Accuracy:92.80
Epoch:52   Accuracy:92.51
Epoch:53   Accuracy:92.81
Epoch:54   Accuracy:92.03
Epoch:55   Accuracy:92.77
Epoch:56   Accuracy:92.64
Epoch:57   Accuracy:93.07
Epoch:58   Accuracy:92.68
Epoch:59   Accuracy:92.65
Epoch:60   Accuracy:92.88
Epoch:61   Accuracy:92.71
Epoch:62   Accuracy:92.72
Epoch:63   Accuracy:91.93
Epoch:64   Accuracy:92.57
Epoch:65   Accuracy:92.68
Epoch:66   Accuracy:91.96
Epoch:67   Accuracy:92.78
Epoch:68   Accuracy:92.78
Epoch:69   Accuracy:92.73
Epoch:70   Accuracy:92.85
Epoch:71   Accuracy:92.51
Epoch:72   Accuracy:92.62
Epoch:73   Accuracy:92.43
Epoch:74   Accuracy:92.75
Epoch:75   Accuracy:92.90
Epoch:76   Accuracy:92.42
Epoch:77   Accuracy:92.47
Epoch:78   Accuracy:92.30
Epoch:79   Accuracy:92.50
Epoch:80   Accuracy:92.37
Epoch:81   Accuracy:92.51
Epoch:82   Accuracy:92.00
Epoch:83   Accuracy:92.28
Epoch:84   Accuracy:92.73
Epoch:85   Accuracy:92.72
Epoch:86   Accuracy:92.93
Epoch:87   Accuracy:92.97
Epoch:88   Accuracy:92.79
Epoch:89   Accuracy:92.32
Epoch:90   Accuracy:92.20
Epoch:91   Accuracy:92.38
Epoch:92   Accuracy:92.62
Epoch:93   Accuracy:92.52
Epoch:94   Accuracy:93.08
Epoch:95   Accuracy:92.50
Epoch:96   Accuracy:93.01
Epoch:97   Accuracy:92.88
Epoch:98   Accuracy:92.66
Epoch:99   Accuracy:92.42
Epoch:100   Accuracy:92.55
Epoch:101   Accuracy:92.52
Epoch:102   Accuracy:92.39
Epoch:103   Accuracy:92.76
Epoch:104   Accuracy:92.28
Epoch:105   Accuracy:92.87
Epoch:106   Accuracy:92.52
Epoch:107   Accuracy:92.88
Epoch:108   Accuracy:92.62
Epoch:109   Accuracy:92.77
Epoch:110   Accuracy:92.56
Epoch:111   Accuracy:92.99
Epoch:112   Accuracy:92.55
Epoch:113   Accuracy:92.46
Epoch:114   Accuracy:92.35
Epoch:115   Accuracy:92.48
Epoch:116   Accuracy:92.10
Epoch:117   Accuracy:92.86
Epoch:118   Accuracy:93.29
Epoch:119   Accuracy:92.78
Epoch:120   Accuracy:92.92
Epoch:121   Accuracy:93.08
Epoch:122   Accuracy:92.82
Epoch:123   Accuracy:92.66
Epoch:124   Accuracy:92.43
Epoch:125   Accuracy:92.58
Epoch:126   Accuracy:92.89
Epoch:127   Accuracy:92.61
Epoch:128   Accuracy:92.65
Epoch:129   Accuracy:93.17
Epoch:130   Accuracy:92.73
Epoch:131   Accuracy:92.82
Epoch:132   Accuracy:92.83
Epoch:133   Accuracy:93.10
Epoch:134   Accuracy:92.62
Epoch:135   Accuracy:92.66
Epoch:136   Accuracy:92.55
Epoch:137   Accuracy:92.97
Epoch:138   Accuracy:93.01
Epoch:139   Accuracy:92.69
Epoch:140   Accuracy:92.74
Epoch:141   Accuracy:93.18
Epoch:142   Accuracy:93.01
Epoch:143   Accuracy:93.23
Epoch:144   Accuracy:93.00
Epoch:145   Accuracy:92.75
Epoch:146   Accuracy:92.82
Epoch:147   Accuracy:92.98
Epoch:148   Accuracy:93.05
Epoch:149   Accuracy:92.91
Epoch:150   Accuracy:92.60
Epoch:151   Accuracy:93.79
Epoch:152   Accuracy:93.88
Epoch:153   Accuracy:93.97
Epoch:154   Accuracy:93.92
Epoch:155   Accuracy:93.84
Epoch:156   Accuracy:93.88
Epoch:157   Accuracy:93.94
Epoch:158   Accuracy:93.90
Epoch:159   Accuracy:93.90
Epoch:160   Accuracy:93.99
Epoch:161   Accuracy:94.05
Epoch:162   Accuracy:93.82
Epoch:163   Accuracy:93.85
Epoch:164   Accuracy:93.80
Epoch:165   Accuracy:93.90
Epoch:166   Accuracy:93.81
Epoch:167   Accuracy:94.11
Epoch:168   Accuracy:93.99
Epoch:169   Accuracy:93.82
Epoch:170   Accuracy:93.91
Epoch:171   Accuracy:94.13
Epoch:172   Accuracy:94.05
Epoch:173   Accuracy:94.10
Epoch:174   Accuracy:93.96
Epoch:175   Accuracy:93.90
Epoch:176   Accuracy:93.98
Epoch:177   Accuracy:94.22
Epoch:178   Accuracy:94.14
Epoch:179   Accuracy:94.21
Epoch:180   Accuracy:93.95
Epoch:181   Accuracy:94.02
Epoch:182   Accuracy:94.00
Epoch:183   Accuracy:93.96
Epoch:184   Accuracy:94.07
Epoch:185   Accuracy:94.21
Epoch:186   Accuracy:94.25
Epoch:187   Accuracy:94.15
Epoch:188   Accuracy:94.07
Epoch:189   Accuracy:93.99
Epoch:190   Accuracy:94.07
Epoch:191   Accuracy:94.32
Epoch:192   Accuracy:94.15
Epoch:193   Accuracy:94.17
Epoch:194   Accuracy:94.15
