epoch,L_x,L_u,lambda_u,L_reg,L_total
6,1.4206137168321677,0.0014931584350492278,3.1212529976019185,0.004224696830897737,1.4283040496085186
6,1.422831398050932,0.0016381606085543736,3.121297393364929,0.0041849664012433615,1.430790968698348
7,1.3092345490259825,0.0014727474060944384,4.683725845410628,0.0052837073355283285,1.3202555009708312
7,1.303176969073298,0.0014573187618313434,4.683716707021792,0.005543399041238946,1.3144056869188174
8,1.2579354467749884,0.0013670211306380754,6.246216707021793,0.006134160355998532,1.271547340884913
8,1.2642977321205509,0.0013813847322455622,6.246225845410628,0.005982454853235847,1.2778135132098543
9,1.2297239837426583,0.0013534207271696838,7.808707524271844,0.006632474099638537,1.2458715621128822
9,1.2358220031914802,0.001355698230327107,7.808743990384615,0.006545006990423785,1.2518901955336332
10,1.2140065435924483,0.0013165697688659649,9.371216707021793,0.006673468192295142,1.2319931214715898
10,1.2235951397540796,0.0013367488866710441,9.371198296836983,0.00653020027994321,1.2415991600992615
11,1.2028100792192606,0.001286673191698619,10.933725845410628,0.0065300779080846244,1.2224030671776205
11,1.1935536418353674,0.001301675904700059,10.933716707021793,0.006741576982813168,1.2135056603618741
12,1.189912959216879,0.0012910045137547199,12.496243990384615,0.006699335291789164,1.2117244644233813
12,1.1840923638309089,0.001292711370924117,12.496207524271844,0.006975943318147718,1.2062038450854495
13,1.1770468642912715,0.0012733294139756451,14.058734939759034,0.006780750670257103,1.200736115711281
13,1.1861842058706975,0.0013061049827352022,14.058725845410628,0.007042698881584377,1.2105665044220173
14,1.18249849573924,0.0012600581109766678,15.621243990384615,0.007002975187228562,1.208197562310558
14,1.17864403078355,0.0012845168842552566,15.621234939759034,0.00668039266412786,1.2043867190918291
15,1.1958642462649978,0.0012945633696487555,17.183734939759034,0.007139042423230158,1.2242189144513693
15,1.1841146314000508,0.0012738826461641275,17.179987980769234,0.006932282931709954,1.2119411933852966
16,1.1763423814509923,0.0012669935987595147,18.746243990384613,0.007041571718918231,1.2061504409290278
16,1.1744366413139435,0.0012695586757667094,18.746234939759038,0.007059064290362848,1.2043098699615662
17,1.157798427989684,0.0012376817183131464,20.308734939759038,0.007314854256348707,1.1892854255366039
17,1.1640263168284526,0.0012560658716001154,20.308743990384613,0.006760507266265519,1.1953175198286772
18,1.166384321709092,0.0012443136414591349,21.871243990384613,0.007242378144627974,1.1998756813028684
18,1.158991781135018,0.0012436240019899113,21.871243990384613,0.007059428630432544,1.1922879850921722
19,1.1555851506386443,0.0012320075898790816,23.43375299760192,0.007196121263413799,1.1906959244387327
19,1.1504637263089919,0.001247522754584075,23.43375299760192,0.007222870780195264,1.1859551866849263
20,1.1534665814427096,0.0012239173580235112,24.99626196172249,0.0073815509359436956,1.1904767553486892
20,1.1547545146999867,0.001246214233035533,24.99621670702179,0.007216981369731429,1.1921570347960289
21,1.1474031741670567,0.001213113820890514,25.0,0.007144040043401025,1.1848750598996662
21,1.1477337766152163,0.0012191714239144437,25.0,0.006813382380641997,1.1850264416291163
22,1.137177621289123,0.0012315892169421775,25.0,0.00736511151230396,1.1753324600432415
22,1.1405850731982634,0.0012130489803894307,25.0,0.007199084631373318,1.17811038531363
23,1.138313398834621,0.0012251888080828703,25.0,0.007576070271396751,1.17651919143622
23,1.1547828292447415,0.0012450916766418528,25.0,0.007349256932976072,1.1932593770859914
24,1.1533783331191798,0.0012524859153814122,25.0,0.0072425026290243765,1.1919329816774784
24,1.1347571176876552,0.0012063359082631802,25.0,0.007395558455641821,1.1723110798737413
25,1.1405946539460325,0.0012168592275890837,25.0,0.007463956434878228,1.1784800904260264
25,1.1386894655170487,0.0012157057156245842,25.0,0.007441618920323982,1.176523725334689
26,1.1451642595586322,0.0012077316696550476,25.0,0.00692289806736101,1.182280450633594
26,1.148692019961097,0.0012268003109178582,25.0,0.007071331601799354,1.1864333593389065
27,1.1473199227968087,0.0012302458040861753,25.0,0.007366521535844255,1.18544259108603
27,1.1549567657040525,0.001254388143704106,25.0,0.007129558102563379,1.1934460291999052
28,1.1385077845509695,0.0012023431545696921,25.0,0.00737195844186341,1.1759383227489444
28,1.1542164192815716,0.0012421310232043196,25.0,0.006964572424594866,1.1922342687417447
29,1.1390455969762687,0.001191309385245048,25.0,0.007310438883404174,1.1761387694707064
29,1.1338996409514304,0.0011885810414920717,25.0,0.007693593282225813,1.1713077611330023
30,1.1356895154328654,0.001200216875229549,25.0,0.007550528630886754,1.1732454667274328
30,1.1234696969139777,0.0012045975686447378,25.0,0.007295619805535521,1.1608802547557748
31,1.1432949363616316,0.0012179923342870934,25.0,0.007148755308649634,1.180893496710247
31,1.1362359677775624,0.0012229428259387355,25.0,0.00724386260287756,1.174053399471575
32,1.1449691872323613,0.0012057320761320967,25.0,0.007574260583245207,1.1826867501747067
32,1.1467591978663163,0.0012454126028531639,25.0,0.007153336787864352,1.1850478448313204
33,1.1336795902479804,0.0012066412190873362,25.0,0.007247873714753829,1.1710934961894817
33,1.1303364789571284,0.0012003224706894058,25.0,0.0076519073573939125,1.1679964474533509
34,1.142383294202263,0.0012078205531830888,25.0,0.0077924909679161335,1.1803712971455158
34,1.1355411637057529,0.001224093368242419,25.0,0.007539834198876146,1.1736833317713304
35,1.1367024213858037,0.0012168605208423583,25.0,0.007296392856930385,1.1744203267347841
35,1.121825403431386,0.0011800398648929287,25.0,0.007369435760504499,1.1586958359588275
36,1.1366602694102041,0.001221323511253359,25.0,0.00733503525768467,1.174528390240612
36,1.1285029273284108,0.001210788722664149,25.0,0.007537606836220865,1.166310255179565
37,1.1184069582720122,0.0011766278074244393,25.0,0.007477953352711417,1.1553006106586547
37,1.1309750100119795,0.0012313815066730491,25.0,0.007243703469819427,1.1690032494296845
38,1.1233042499188306,0.0011952760201342056,25.0,0.007468162784086171,1.1606543108927607
38,1.1289393592366783,0.0012048878824942448,25.0,0.007334229678174646,1.1663957862831134
39,1.1329772766814175,0.0012129509752105742,25.0,0.00783723293220153,1.1711382832871862
39,1.1267936597600507,0.0012147026154620386,25.0,0.007433946322400176,1.1645951748749857
40,1.1162208949061607,0.0011829924520537283,25.0,0.007589309292619856,1.1533850144139297
40,1.1363870561408085,0.0012300698863371368,25.0,0.007103926603544201,1.1742427267811515
41,1.1281823734442393,0.0011799087857417318,25.0,0.007505562017849158,1.1651856494801385
41,1.1440005372300672,0.001223972551766939,25.0,0.007408391240912904,1.1820082419226614
42,1.1191766060995714,0.0011793831907102447,25.0,0.00783729788420597,1.1564984880566027
42,1.1270435397883496,0.001211242034543216,25.0,0.007722154910765947,1.165046749488417
43,1.1209920190595555,0.0012091847323076176,25.0,0.007392308651358245,1.1586139454510793
43,1.127750989487417,0.0012144874742983816,25.0,0.00744106191935183,1.165554242168399
44,1.128293530403567,0.0012169334300731172,25.0,0.007350158052992442,1.1660670310759145
44,1.1267730386484236,0.0011972834374145826,25.0,0.007620914141824912,1.1643260378213156
45,1.13631802557204,0.0012155670238994238,25.0,0.007282184104775012,1.1739893869201155
45,1.1350553009356037,0.0012175852738367616,25.0,0.007721239326044953,1.173216171384428
46,1.1229707410910248,0.0012024071473636063,25.0,0.007558606439970238,1.160589527258725
46,1.1140142701369682,0.0011889243189818325,25.0,0.007721430576815129,1.1514588070573282
47,1.118227777013368,0.0011910497800376864,25.0,0.0074323326620522835,1.1554363536777679
47,1.1103824186953994,0.0011874067100720834,25.0,0.00780302264819221,1.14787060787066
48,1.1108939471278954,0.001192398539420355,25.0,0.007153366731817618,1.1478572787988157
48,1.1203703541744297,0.0012102998002806815,25.0,0.007854989646469423,1.158482841489423
49,1.1196521723584878,0.0011969250072702783,25.0,0.007522187376622674,1.1570974842106982
49,1.1296203085232464,0.0012106828591319553,25.0,0.007587394515954865,1.1674747722387884
50,1.1113471191083049,0.0011632397820476247,25.0,0.007801671946412374,1.1482297846411749
50,1.1173837442192243,0.0012020051824956312,25.0,0.007694416963640484,1.1551282926143216
51,1.115065582956259,0.0011882874305229052,25.0,0.007926641288996996,1.1526994078348463
51,1.1068015944986185,0.0011953256897453822,25.0,0.007670493879264359,1.1443552288064525
52,1.1030614266532133,0.0011809941055169796,25.0,0.008052338345358614,1.1406386165317317
52,1.1171809477669201,0.0012204744895551417,25.0,0.007237689643674953,1.1549304988966034
53,1.1153004119436232,0.001195803413832587,25.0,0.007747624969786609,1.1529431273039583
53,1.113444585594342,0.001198438767215898,25.0,0.007977606834758885,1.1513831639747254
54,1.0976375607431361,0.0011664648905123066,25.0,0.00799543454938597,1.134794617467393
54,1.1122443410768463,0.0011726933495675182,25.0,0.007471035850127383,1.1490327075622868
55,1.110091272138414,0.0011680661467835308,25.0,0.007666118813878191,1.1469590466646922
55,1.1005223096131707,0.001179499245958952,25.0,0.007648442665838616,1.1376582331222882
56,1.1005490673439844,0.001153348605675135,25.0,0.008511803481572619,1.1378945840256556
56,1.1059313555179178,0.0011707589385624273,25.0,0.0075893560152163015,1.1427896838626315
57,1.1012517133968298,0.0011886974005557765,25.0,0.007910753594172237,1.1388798954954558
57,1.1175350497047771,0.0012136748238263302,25.0,0.007832936576938785,1.15570985687661
58,1.108828694843274,0.0011917345841528013,25.0,0.007676781272142679,1.1462988401774308
58,1.1047913951350283,0.001190296321749456,25.0,0.007600135436650534,1.1421489391235862
59,1.1089816416481988,0.0012014827967260695,25.0,0.007615983845192573,1.1466346949124508
59,1.1106443087259927,0.0011919860248564788,25.0,0.007689813280566817,1.1481337717601232
60,1.1224762886762618,0.0011749380268849478,25.0,0.00807904734974727,1.1599287845549129
60,1.1454351922777217,0.0012663768437415415,25.0,0.007930355248772728,1.185024965634494
61,1.1171700085381524,0.0011955550373464877,25.0,0.007924485377960658,1.1549833697094907
61,1.1092560871613684,0.0011795311668587345,25.0,0.00799315338127976,1.146737522358517
62,1.1101839177665256,0.0011748662194891255,25.0,0.007702302161349161,1.1472578736997785
62,1.1005532489756127,0.00117402686806938,25.0,0.007755508972554154,1.1376594259517006
63,1.1031737180702994,0.001180662295077014,25.0,0.008275489562355945,1.1409657680246819
63,1.102445310097562,0.0011689518157110893,25.0,0.007743100800582666,1.1394122056128306
64,1.1241811553732024,0.0012025571915016539,25.0,0.007709253092878776,1.1619543390513036
64,1.1040819628515106,0.0012015616472029905,25.0,0.008087893929962375,1.1422089010045149
65,1.1054001351912244,0.0011637371574468214,25.0,0.008166274679232862,1.1426598362499576
65,1.103978025541603,0.0011796416429053474,25.0,0.007824779775694941,1.1412938483756223
66,1.105696924688708,0.0011775267074553646,25.0,0.007779109037785762,1.1429141971831676
66,1.091685269590762,0.0011846721622499926,25.0,0.00836395602159613,1.1296660263332532
67,1.1073495935826074,0.0011810564961273313,25.0,0.00786091008201419,1.1447369192327772
67,1.1045622247981346,0.0011709387421899977,25.0,0.007675651866818763,1.141511350799343
68,1.108518065725054,0.0011755394973165711,25.0,0.007820586211025892,1.1457271384341376
68,1.100469341590291,0.0011897389805415601,25.0,0.00814887463458858,1.1383616928543363
69,1.10733541008972,0.0011682317418273583,25.0,0.007605982307411198,1.1441471871875581
69,1.1100946557408016,0.0012042679869639853,25.0,0.007593142782806959,1.1477944966147793
70,1.0983069156807561,0.00114951352187877,25.0,0.007983272083074899,1.135028024608902
70,1.1013490581796284,0.0011748198444755482,25.0,0.007947836936052357,1.1386673869121642
71,1.1043567876164004,0.0011810148739238098,25.0,0.007865597606174272,1.1417477569705863
71,1.0888889498653866,0.0011604115181225573,25.0,0.008064702188130468,1.1259639369589942
72,1.108834714192959,0.0011806842566698993,25.0,0.008254950145489565,1.146606770377261
72,1.1052339995960063,0.0012034961892912045,25.0,0.007669962283561722,1.1429913685543724
73,1.0984451083475322,0.0011625229818974822,25.0,0.008299855817260853,1.135808037656346
73,1.0940031867323172,0.0011790983086042907,25.0,0.00821093367390459,1.131691580527153
74,1.096872030975716,0.0011686730113896456,25.0,0.008124434194777107,1.1342132900034982
